customer_id,store,age,gender,membership_level,signup_date
1,B,62,F,Gold,2022-01-01
2,E,21,M,Gold,2022-01-02
3,B,33,M,Silver,2022-01-03
4,E,41,F,Gold,2022-01-04
5,A,33,F,Platinum,2022-01-05
6,D,72,F,Bronze,2022-01-06
7,E,19,F,Silver,2022-01-07
8,A,66,F,Silver,2022-01-08
9,B,45,M,Platinum,2022-01-09
10,B,49,M,Bronze,2022-01-10
11,A,44,F,Bronze,2022-01-11
12,B,37,F,Silver,2022-01-12
13,A,41,Other,Gold,2022-01-13
14,E,29,M,Silver,2022-01-14
15,E,67,M,Bronze,2022-01-15
16,A,52,F,Platinum,2022-01-16
17,E,77,M,Silver,2022-01-17
18,E,50,F,Bronze,2022-01-18
19,E,50,F,Silver,2022-01-19
20,C,78,M,Gold,2022-01-20
21,D,68,F,Silver,2022-01-21
22,B,60,F,Silver,2022-01-22
23,C,54,M,Bronze,2022-01-23
24,E,29,F,Bronze,2022-01-24
25,A,20,F,Bronze,2022-01-25
26,E,18,F,Silver,2022-01-26
27,D,50,M,Gold,2022-01-27
28,E,57,F,Platinum,2022-01-28
29,A,27,M,Platinum,2022-01-29
30,D,60,M,Bronze,2022-01-30
31,E,61,F,Bronze,2022-01-31
32,D,46,M,Silver,2022-02-01
33,B,30,M,Platinum,2022-02-02
34,B,29,F,Bronze,2022-02-03
35,E,48,F,Gold,2022-02-04
36,D,63,F,Gold,2022-02-05
37,A,19,F,Bronze,2022-02-06
38,E,78,M,Bronze,2022-02-07
39,B,68,M,Platinum,2022-02-08
40,B,67,M,Platinum,2022-02-09
41,E,52,F,Silver,2022-02-10
42,D,40,F,Platinum,2022-02-11
43,B,34,F,Gold,2022-02-12
44,D,43,F,Gold,2022-02-13
45,B,25,M,Bronze,2022-02-14
46,B,46,F,Platinum,2022-02-15
47,C,43,M,Silver,2022-02-16
48,B,27,F,Gold,2022-02-17
49,A,43,M,Gold,2022-02-18
50,E,79,F,Silver,2022-02-19
