employee_id,store,department,hire_date,salary
1,C,Support,2020-01-05,35149.61
2,D,Management,2020-01-12,43399.89
3,B,Support,2020-01-19,25797.97
4,D,Management,2020-01-26,63965.14
5,C,Management,2020-02-02,44982.39
6,D,Management,2020-02-09,53092.86
7,B,Management,2020-02-16,40934.92
8,A,Sales,2020-02-23,45099.44
9,D,Management,2020-03-01,68347.85
10,D,Logistics,2020-03-08,60413.5
11,B,Support,2020-03-15,48327.17
12,B,Logistics,2020-03-22,61517.21
13,D,Sales,2020-03-29,61848.5
14,C,Logistics,2020-04-05,44128.62
15,D,Support,2020-04-12,27963.81
16,B,Logistics,2020-04-19,36512.58
17,A,Sales,2020-04-26,29892.07
18,A,Management,2020-05-03,67466.52
19,C,Logistics,2020-05-10,70071.73
20,D,Sales,2020-05-17,73795.61
21,A,Sales,2020-05-24,19706.67
22,D,Support,2020-05-31,66071.01
23,B,Support,2020-06-07,83182.87
24,A,Logistics,2020-06-14,66679.82
25,C,Management,2020-06-21,17731.56
26,B,Sales,2020-06-28,76524.47
27,C,Logistics,2020-07-05,50625.34
28,B,Sales,2020-07-12,46514.01
29,A,Sales,2020-07-19,56766.43
30,C,Management,2020-07-26,34264.9
