date,store,product,sales,units,promotion
2023-01-01,C,Tool,72,7,True
2023-01-02,D,Gadget,61,2,False
2023-01-03,A,Gadget,13,8,True
2023-01-04,C,Device,32,1,True
2023-01-05,C,Gadget,24,9,False
2023-01-06,D,Gadget,52,9,False
2023-01-07,A,Gadget,38,2,False
2023-01-08,A,Device,45,7,True
2023-01-09,C,Gadget,22,3,False
2023-01-10,B,Tool,41,7,True
2023-01-11,C,Device,80,9,True
2023-01-12,C,Tool,68,4,True
2023-01-13,C,Device,95,1,False
2023-01-14,C,Gadget,37,2,False
2023-01-15,D,Tool,75,1,True
2023-01-16,A,Device,51,5,True
2023-01-17,D,Widget,54,5,False
2023-01-18,D,Gadget,71,7,True
2023-01-19,D,Device,66,9,False
2023-01-20,C,Widget,15,9,True
2023-01-21,B,Device,37,3,False
2023-01-22,A,Widget,37,3,True
2023-01-23,B,Gadget,53,3,False
2023-01-24,D,Tool,93,4,True
2023-01-25,D,Widget,39,8,False
2023-01-26,B,Device,71,6,False
2023-01-27,B,Gadget,84,8,True
2023-01-28,B,Widget,98,1,True
2023-01-29,D,Device,71,8,False
2023-01-30,D,Device,10,4,True
2023-01-31,A,Device,36,1,False
2023-02-01,A,Widget,71,8,True
2023-02-02,D,Widget,86,4,False
2023-02-03,B,Widget,12,6,False
2023-02-04,B,Tool,79,8,False
2023-02-05,A,Widget,81,4,False
2023-02-06,D,Widget,36,3,False
2023-02-07,A,Widget,18,9,False
2023-02-08,A,Tool,71,3,True
2023-02-09,C,Widget,46,9,True
2023-02-10,C,Device,60,2,True
2023-02-11,C,Widget,53,2,False
2023-02-12,B,Device,33,2,False
2023-02-13,D,Device,88,6,False
2023-02-14,D,Device,68,3,False
2023-02-15,D,Tool,41,9,True
2023-02-16,D,Tool,97,4,True
2023-02-17,C,Tool,61,1,False
2023-02-18,B,Widget,71,4,True
2023-02-19,B,Device,67,1,True
2023-02-20,C,Tool,61,5,False
2023-02-21,B,Tool,21,4,True
2023-02-22,C,Widget,48,8,False
2023-02-23,D,Tool,11,8,True
2023-02-24,C,Widget,12,7,False
2023-02-25,D,Gadget,65,3,False
2023-02-26,D,Tool,90,1,False
2023-02-27,A,Gadget,68,1,False
2023-02-28,C,Widget,11,3,True
2023-03-01,A,Device,11,6,False
2023-03-02,C,Tool,63,7,False
2023-03-03,C,Widget,96,6,False
2023-03-04,A,Device,10,6,True
2023-03-05,A,Device,28,6,False
2023-03-06,C,Gadget,11,3,True
2023-03-07,B,Widget,62,6,False
2023-03-08,D,Device,53,8,True
2023-03-09,A,Tool,99,2,True
2023-03-10,D,Tool,41,5,False
2023-03-11,B,Gadget,79,1,True
2023-03-12,B,Device,41,1,False
2023-03-13,B,Widget,77,5,False
2023-03-14,A,Tool,64,3,False
2023-03-15,B,Device,84,4,True
2023-03-16,A,Device,65,3,True
2023-03-17,B,Gadget,26,1,False
2023-03-18,D,Tool,47,1,False
2023-03-19,D,Tool,33,5,True
2023-03-20,C,Widget,78,6,False
2023-03-21,D,Tool,79,3,False
2023-03-22,C,Widget,95,9,False
2023-03-23,D,Tool,20,5,True
2023-03-24,A,Gadget,25,8,True
2023-03-25,D,Tool,82,1,True
2023-03-26,C,Widget,68,5,False
2023-03-27,C,Widget,79,3,False
2023-03-28,B,Gadget,89,1,False
2023-03-29,A,Tool,12,4,True
2023-03-30,D,Tool,29,5,False
2023-03-31,B,Gadget,68,7,False
2023-04-01,D,Tool,45,1,False
2023-04-02,D,Tool,28,3,False
2023-04-03,B,Widget,99,2,True
2023-04-04,B,Tool,76,9,True
2023-04-05,B,Tool,28,6,False
2023-04-06,B,Gadget,29,3,True
2023-04-07,B,Gadget,80,8,True
2023-04-08,D,Device,61,8,False
2023-04-09,B,Widget,42,2,False
2023-04-10,A,Tool,49,6,True
